Data,Dia da Semana,Feriado
12/10/2020,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2020,segunda-feira,Finados
15/11/2020,domingo,Proclamação da República
25/12/2020,sexta-feira,Natal
01/01/2021,sexta-feira,Confraternização Universal
15/02/2021,segunda-feira,Carnaval
16/02/2021,terça-feira,Carnaval
02/04/2021,sexta-feira,Paixão de Cristo
21/04/2021,quarta-feira,Tiradentes
01/05/2021,sábado,Dia do Trabalho
03/06/2021,quinta-feira,Corpus Christi
07/09/2021,terça-feira,Independência do Brasil
12/10/2021,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2021,terça-feira,Finados
15/11/2021,segunda-feira,Proclamação da República
25/12/2021,sábado,Natal
01/01/2022,sábado,Confraternização Universal
28/02/2022,segunda-feira,Carnaval
01/03/2022,terça-feira,Carnaval
15/04/2022,sexta-feira,Paixão de Cristo
21/04/2022,quinta-feira,Tiradentes
01/05/2022,domingo,Dia do Trabalho
16/06/2022,quinta-feira,Corpus Christi
07/09/2022,quarta-feira,Independência do Brasil
12/10/2022,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2022,quarta-feira,Finados
15/11/2022,terça-feira,Proclamação da República
25/12/2022,domingo,Natal
01/01/2023,domingo,Confraternização Universal
20/02/2023,segunda-feira,Carnaval
21/02/2023,terça-feira,Carnaval
07/04/2023,sexta-feira,Paixão de Cristo
21/04/2023,sexta-feira,Tiradentes
01/05/2023,segunda-feira,Dia do Trabalho
08/06/2023,quinta-feira,Corpus Christi
07/09/2023,quinta-feira,Independência do Brasil
12/10/2023,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2023,quinta-feira,Finados
15/11/2023,quarta-feira,Proclamação da República
25/12/2023,segunda-feira,Natal
01/01/2024,segunda-feira,Confraternização Universal
12/02/2024,segunda-feira,Carnaval
13/02/2024,terça-feira,Carnaval
29/03/2024,sexta-feira,Paixão de Cristo
21/04/2024,domingo,Tiradentes
01/05/2024,quarta-feira,Dia do Trabalho
30/05/2024,quinta-feira,Corpus Christi
07/09/2024,sábado,Independência do Brasil
12/10/2024,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2024,sábado,Finados
15/11/2024,sexta-feira,Proclamação da República
25/12/2024,quarta-feira,Natal
01/01/2025,quarta-feira,Confraternização Universal
03/03/2025,segunda-feira,Carnaval
04/03/2025,terça-feira,Carnaval
18/04/2025,sexta-feira,Paixão de Cristo
21/04/2025,segunda-feira,Tiradentes
01/05/2025,quinta-feira,Dia do Trabalho
19/06/2025,quinta-feira,Corpus Christi
07/09/2025,domingo,Independência do Brasil
12/10/2025,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2025,domingo,Finados
15/11/2025,sábado,Proclamação da República
25/12/2025,quinta-feira,Natal
01/01/2026,quinta-feira,Confraternização Universal
16/02/2026,segunda-feira,Carnaval
17/02/2026,terça-feira,Carnaval
03/04/2026,sexta-feira,Paixão de Cristo
21/04/2026,terça-feira,Tiradentes
01/05/2026,sexta-feira,Dia do Trabalho
04/06/2026,quinta-feira,Corpus Christi
07/09/2026,segunda-feira,Independência do Brasil
12/10/2026,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2026,segunda-feira,Finados
15/11/2026,domingo,Proclamação da República
25/12/2026,sexta-feira,Natal
01/01/2027,sexta-feira,Confraternização Universal
08/02/2027,segunda-feira,Carnaval
09/02/2027,terça-feira,Carnaval
26/03/2027,sexta-feira,Paixão de Cristo
21/04/2027,quarta-feira,Tiradentes
01/05/2027,sábado,Dia do Trabalho
27/05/2027,quinta-feira,Corpus Christi
07/09/2027,terça-feira,Independência do Brasil
12/10/2027,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2027,terça-feira,Finados
15/11/2027,segunda-feira,Proclamação da República
25/12/2027,sábado,Natal
01/01/2028,sábado,Confraternização Universal
28/02/2028,segunda-feira,Carnaval
29/02/2028,terça-feira,Carnaval
14/04/2028,sexta-feira,Paixão de Cristo
21/04/2028,sexta-feira,Tiradentes
01/05/2028,segunda-feira,Dia do Trabalho
15/06/2028,quinta-feira,Corpus Christi
07/09/2028,quinta-feira,Independência do Brasil
12/10/2028,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2028,quinta-feira,Finados
15/11/2028,quarta-feira,Proclamação da República
25/12/2028,segunda-feira,Natal
01/01/2029,segunda-feira,Confraternização Universal
12/02/2029,segunda-feira,Carnaval
13/02/2029,terça-feira,Carnaval
30/03/2029,sexta-feira,Paixão de Cristo
21/04/2029,sábado,Tiradentes
01/05/2029,terça-feira,Dia do Trabalho
31/05/2029,quinta-feira,Corpus Christi
07/09/2029,sexta-feira,Independência do Brasil
12/10/2029,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2029,sexta-feira,Finados
15/11/2029,quinta-feira,Proclamação da República
25/12/2029,terça-feira,Natal
01/01/2030,terça-feira,Confraternização Universal
04/03/2030,segunda-feira,Carnaval
05/03/2030,terça-feira,Carnaval
19/04/2030,sexta-feira,Paixão de Cristo
21/04/2030,domingo,Tiradentes
01/05/2030,quarta-feira,Dia do Trabalho
20/06/2030,quinta-feira,Corpus Christi
07/09/2030,sábado,Independência do Brasil
12/10/2030,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2030,sábado,Finados
15/11/2030,sexta-feira,Proclamação da República
25/12/2030,quarta-feira,Natal
